ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path
262,d437a505f3eb256d,02/16/2021,yes,1613445192811,1613446048656,2021-02-16 11:13:12,2021-02-16 11:27:28,L2_FC_zone_11,L2_FC_zone_8,855,"['L2_FC_zone_11', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8']"
263,d437a505f3eb256d,02/16/2021,yes,1613452510511,1613453188596,2021-02-16 13:15:10,2021-02-16 13:26:28,L2_FC_zone_4,L2_FC_zone_9,678,"['L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_FC_zone_11', 'L2_FC_zone_9_walkway', 'L2_FC_zone_9']"
264,d437a505f3eb256d,02/25/2021,yes,1614214504153,1614215127154,2021-02-25 08:55:04,2021-02-25 09:05:27,L2_FC_zone_7,L2_FC_zone_8,623,"['L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8']"
265,d437a505f3eb256d,02/25/2021,yes,1614216152132,1614216691210,2021-02-25 09:22:32,2021-02-25 09:31:31,L2_CLL,L2_FC_zone_5,539,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5']"
266,d437a505f3eb256d,02/25/2021,yes,1614217119362,1614218567188,2021-02-25 09:38:39,2021-02-25 10:02:47,L2_CLL,L2_FC_zone_1,1447,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1']"
267,d437a505f3eb256d,02/25/2021,yes,1614222059382,1614222877896,2021-02-25 11:00:59,2021-02-25 11:14:37,L6_SLL,L2_FC_zone_5,818,"['L6_SLL', 'L2_SLL', 'L2_SLL_corridor', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5']"
268,d437a505f3eb256d,02/25/2021,yes,1614228299869,1614228692109,2021-02-25 12:44:59,2021-02-25 12:51:32,L2_FC_zone_8,L2_FC_zone_5,392,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5']"
269,d437a505f3eb256d,02/25/2021,yes,1614229094586,1614230640593,2021-02-25 12:58:14,2021-02-25 13:24:00,L2_FC_zone_8,L2_FC_zone_4,1546,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4']"
270,d437a505f3eb256d,02/25/2021,yes,1614231029216,1614231300099,2021-02-25 13:30:29,2021-02-25 13:35:00,L2_FC_zone_8,L1_Shop_walkway_3,270,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_CLL', 'L1_CLL', 'L1_Shop_walkway_2', 'L1_Shop_walkway_3', 'B1_Supermarket_entrance_1', 'L1_Shop_walkway_3']"
271,d5d061b14b4e60a0,02/20/2021,yes,1613819018331,1613819485582,2021-02-20 19:03:38,2021-02-20 19:11:25,L1_Thoroughfare,L1_CLL,467,"['L1_Thoroughfare', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_CP_zone_2', 'L1_Shop_walkway_1', 'L1_CLL']"
272,d5d061b14b4e60a0,02/11/2021,yes,1613011168162,1613011259691,2021-02-11 10:39:28,2021-02-11 10:40:59,L1_Thoroughfare,L1_Entrance_3,91,"['L1_Thoroughfare', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_Entrance_4', 'L1_CP_zone_3', 'L1_CP_zone_4', 'L1_Entrance_3']"
273,d5d061b14b4e60a0,02/11/2021,yes,1613019410804,1613019499407,2021-02-11 12:56:50,2021-02-11 12:58:19,L1_Entrance_3,L1_Thoroughfare,88,"['L1_Entrance_3', 'L1_CP_zone_4', 'L1_CP_zone_3', 'L1_Entrance_4', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_Thoroughfare']"
