,Unnamed: 0,Unnamed: 0.1,Unique ID,Macaddress,Temperature,Light,packets,namespace,txPower,interval,batteryLevel,Floor,location_id,zone_predicted,zone_to_use,zone_truth,N_True,N_False,N_total,N_false/N_total,node_or_neighbor,node_or_neighbor/N_total
92,92,104,suymBh,FF:0B:F7:2B:A4,24,20,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00905,1,350,100,9,5,L9_CG_garden_zone_2,L9_CG_garden_zone_2,"{'L9_CG_garden_zone_2': 38, 'L9_CG_entrance': 1, 'L9_CG_garden_zone_3': 6}",38,7,45,0.155555556,44,0.977777778
93,93,36,suMU5d,F5:55:A3:C2:B0,24,1,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00906,1,350,100,9,6,L9_CG_garden_zone_3,L9_CG_garden_zone_3,"{'L9_CG_garden_zone_3': 18, 'L9_CG_garden_zone_2': 1}",18,1,19,0.052631579,19,1
94,94,35,suMLzy,EC:41:39:84:32,23,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00907,1,350,100,9,7,,L9_R1_LL,,0,0,0,,0,
95,95,105,suzNjO,D0:6E:E0:F0:C6,23,12,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00908,1,350,100,9,8,,L9_R2_LL,,0,0,0,,0,
96,96,116,VuLiFl,C3:FE:EE:40:7A,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00909,3,350,100,9,9,L9_CG_steps_zone_2,L9_CG_steps_zone_2,"{'L9_CG_steps_zone_2': 20, 'L9_CG_steps_zone_3': 6, 'L9_CG_steps_zone_4': 2, 'L9_CG_steps_zone_1': 3, 'L8_RG_zone_2': 4}",20,15,35,0.428571429,29,0.828571429
97,97,59,subTzK,F0:60:42:3F:54,23,5,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e01001,1,350,100,10,1,,L10_R1_LL,,0,0,0,,0,
98,98,94,sutDc6,C7:66:D5:72:34,22,13,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e01002,1,350,100,10,2,,L10_R2_LL,,0,0,0,,0,
99,99,32,suJxZ6,D2:22:DB:AF:A0,21,23,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e01101,1,350,100,11,1,,L11_R1_LL,,0,0,0,,0,
100,100,63,sueDHB,C6:9B:6F:66:10,23,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e01102,1,350,100,11,2,,L11_R2_LL,,0,0,0,,0,
101,101,111,suuYQB,E6:2B:7C:BB:B2,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e0b101,1,350,100,b1,1,B1_SLL,B1_SLL,"{'B1_SLL': 8, 'B1_Carpark_zone_1': 1}",8,1,9,0.111111111,9,1
